WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;301;302;303;304;305;306;307;308
3;4;3;Stadler, Josef;12;3;13.040;1.504;92;129;93;11.536;1.041;70;33;46
3;4;4;Ebenburger, Dr. Klaus;10;4;11.313;2.470;8.843;106;328;229;975;307;164;361
3;4;5;Bergmann, Klaus;8;5;11.151;5.109;484;197;482;517;1.956;271;1.202;6.042
3;4;6;Hauff, Siegfried;16;6;8.845;120;17;5;8.725;12;42;13;14;17
3;4;7;Doblinger, Michael;6;7;8.249;3.070;272;5.179;304;409;1.567;248;109;161
3;4;8;Quaas, Benjamin;4;8;6.999;644;62;22;55;94;316;6.355;56;39
3;4;9;Winklmann, Tina;3;9;4.968;4.968;402;240;263;316;1.369;1.907;228;243
3;4;10;Zeichinger, Veronika;9;10;4.036;4.036;32;26;32;287;3.549;55;20;35
3;4;11;Rösel, Yvonne;5;11;3.813;3.813;3.120;25;112;76;315;49;56;60
3;4;12;Mölders, Petra;11;12;3.671;3.671;136;2.174;180;178;659;176;80;88
3;4;13;Borke-Thoma, Eva;7;13;3.662;3.662;101;54;2.848;94;396;56;74;39
3;4;14;Schuhmacher, Sonja;15;14;2.647;2.647;150;29;79;66;213;126;470;1.514
3;4;15;Wein, Marie;13;15;2.104;2.104;178;95;232;544;673;165;107;110
3;4;16;Schüßler, Mathias;14;16;526;526;63;34;74;37;118;27;109;64
3;5;1;Skutella, Christoph;1;1;7.628;4.749;721;402;499;691;1.133;625;678;2.879
3;5;2;Vo, Huu Loi;2;2;6.418;1.869;155;119;193;616;4.549;214;68;504
3;5;3;Lederer, Ingo;15;3;3.727;457;35;20;38;3.270;224;103;9;28
3;5;4;Enger, Dr. Ilka;7;4;3.656;3.656;214;158;253;661;1.778;259;101;232
3;5;5;Stuiber, Alfred;5;5;3.557;919;70;2.638;94;158;216;210;60;111
3;5;6;Gründer, Nils;3;6;3.488;1.220;256;71;2.268;129;361;111;90;202
3;5;7;Hochholdinger, Markus;9;7;3.301;493;2.808;27;103;42;88;112;30;91
3;5;8;Grahn, Wolf-Dieter;13;8;2.801;350;103;28;25;38;64;2.451;25;67
