WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;601;602;603;604;605;606;607;608;609;610
6;3;9;Kleren, Matthias;10;9;8.785;2.124;150;100;6.661;1.007;145;120;97;216;138;151
6;3;10;Ries, Norbert;7;10;7.474;1.036;6.438;547;33;34;36;173;88;39;50;36
6;3;11;Kern, Walter;14;11;5.025;5.025;1.194;1.543;230;292;225;236;727;187;235;156
6;3;12;Zarbo, Cengiz;12;12;2.410;2.410;39;36;60;112;1.709;67;34;139;128;86
6;3;13;Heinelt, Norbert;16;13;2.388;2.388;18;35;139;307;136;89;17;1.550;45;52
6;3;14;Pintar, Marco;11;14;2.242;2.242;36;21;48;65;71;1.834;29;50;47;41
6;3;15;Schmid, Engelbert;13;15;2.010;2.010;143;105;24;54;34;51;1.463;43;57;36
6;3;16;Falk, Ulrich;15;16;1.635;1.635;30;29;36;35;1.152;37;26;51;183;56
6;4;1;Celina, Kerstin;1;1;56.420;38.851;2.512;3.379;2.952;3.462;3.586;3.948;2.753;4.595;17.569;11.664
6;4;2;Friedl, Patrick;2;2;37.871;15.861;476;748;674;609;923;941;605;868;10.017;22.010
6;4;3;Knoblach, Paul;12;3;17.462;6.397;480;713;662;819;739;519;415;11.065;956;1.094
6;4;4;Wagener, Stefan;8;4;16.189;4.663;2.816;11.526;50;50;46;122;1.215;72;136;156
6;4;5;Reder-Zirkelbach, Birgit;19;5;14.464;3.819;259;381;519;10.645;273;222;256;525;497;887
6;4;6;Shah, Yatin;6;6;13.200;5.049;208;339;8.151;2.035;215;223;188;487;458;896
6;4;7;Plate, Hans;16;7;12.406;2.859;221;324;182;203;9.547;182;189;455;537;566
6;4;8;Münch, Gregor;4;8;11.883;2.507;153;237;173;187;194;9.376;150;451;329;633
6;4;9;Goll, Volker;10;9;11.342;950;10.392;738;15;8;12;31;38;20;25;63
6;4;10;Schneider, Joachim;14;10;10.131;406;45;155;11;31;26;27;9.725;32;31;48
6;4;11;Baier, Anja;7;11;8.454;8.454;379;507;459;400;295;3.640;434;472;819;1.049
6;4;12;Röder, Birgid;3;12;6.785;6.785;185;289;271;791;1.438;203;241;1.301;913;1.153
6;4;13;Gößmann, Maria;5;13;5.337;5.337;228;356;234;296;317;525;289;441;949;1.702
6;4;14;Tippe, Karina;11;14;3.071;3.071;731;2.075;19;18;10;32;87;17;34;48
6;4;15;Becker, Marion;9;15;2.589;2.589;67;561;15;23;36;19;1.710;27;42;89
6;4;16;Winter, Petra;17;16;2.218;2.218;29;60;1.385;264;31;38;25;219;65;102
6;4;17;Selariu, Marc;18;17;2.135;2.135;82;130;103;128;183;132;99;166;256;856
6;4;18;Bergmann, Tatjana;15;18;1.823;1.823;1.270;230;22;17;33;30;56;43;48;74
6;4;19;Eckardt, Oliver;13;19;758;758;31;72;87;295;31;23;21;62;61;75
6;5;1;Kaltenhauser, Dr. Helmut;1;1;13.766;9.476;4.290;1.857;730;812;731;771;822;964;1.118;1.671
6;5;2;Fischer, Wolfram;3;2;6.957;2.102;86;66;148;108;305;142;67;193;987;4.855
6;5;3;Kolb, Peter;7;3;6.486;2.648;1.323;3.838;74;81;83;152;534;103;136;162
6;5;4;Kuhl, Wolfgang;2;4;6.381;1.891;562;75;56;67;116;277;57;115;4.490;566
6;5;5;Schenk Graf von Stauffenberg, Karl;4;5;4.881;1.557;157;134;234;3.324;133;109;84;171;212;323
6;5;6;Sander, Peter;5;6;4.202;1.065;127;116;152;102;80;3.137;79;88;129;192
6;5;7;Zimmermann, Frank;6;7;3.989;558;70;65;41;45;43;103;3.431;47;70;74
6;5;8;Hofstetter, Dr. Hans-Joachim;8;8;3.913;952;70;72;2.961;240;52;69;39;159;83;168
6;5;9;Müller, Hans;9;9;3.542;603;43;62;51;79;2.939;67;52;65;71;113
6;5;10;Bock, Gunnar;10;10;3.443;560;14;22;156;131;126;22;11;2.883;44;34
6;5;11;Schenkel, Dr. Astrid;13;11;3.042;3.042;108;149;158;105;247;263;80;122;655;1.155
6;5;12;Linduschka, Dr. Heinz;12;12;1.764;1.764;74;115;18;19;27;31;1.343;27;50;60
6;5;13;Rausch, Hartmut;14;13;1.374;1.374;40;40;372;458;85;75;54;93;103;54
6;5;14;Vorbeck, Edda;16;14;1.270;1.270;35;38;141;119;82;32;35;627;64;97
6;5;15;Pascher, Harald;15;15;1.205;1.205;14;18;17;1.009;32;15;18;24;22;36
6;5;16;Schneider, Thilo;19;16;1.165;1.165;204;755;17;9;18;16;86;10;24;26
6;5;17;Jannek, Werner;11;17;875;875;33;38;31;24;30;504;63;19;66;67
6;5;18;Betz, Patrick-Daniel;17;18;868;868;532;110;29;11;10;89;24;12;26;25
6;5;19;Brumme, Dr. Holm;18;19;543;543;18;28;25;18;38;35;13;30;236;102
6;6;1;Striesow, Robert;1;1;10.389;7.031;496;626;757;1.101;657;676;551;3.358;759;1.408
6;6;2;Beck, Florian;4;2;6.410;3.071;214;256;670;3.339;231;246;201;493;255;505
6;6;3;Timm, Martin, (Sukov, Leander);18;3;4.033;479;32;50;26;47;67;38;27;53;139;3.554
6;6;4;Pfaff, Christine;2;4;3.283;1.350;81;76;65;99;1.933;76;72;628;104;149
6;6;5;Liebl, Georg;10;5;3.260;1.118;320;385;37;62;51;73;2.142;62;61;67
6;6;6;Schäffer, Tobias;6;6;3.226;1.163;130;2.063;113;138;58;137;286;122;87;92
6;6;7;Hänsch, Christian;12;7;3.028;308;18;14;2.720;85;8;46;20;43;20;54
6;6;8;Hansen, Kevin-Christopher;8;8;2.925;272;29;31;15;23;17;26;34;27;2.653;70
6;6;9;Diekmann, Peter;14;9;2.730;872;1.858;503;5;5;5;9;316;5;11;13
6;6;10;Häuslein, Stefan;16;10;2.227;230;41;27;13;12;10;1.997;39;10;56;22
6;6;11;Dörnhöfer, Doris;13;11;1.821;1.821;90;100;71;92;89;197;115;80;370;617
6;6;12;Freund, Matthias;17;12;1.323;1.323;35;50;309;622;34;56;36;61;51;69
6;6;13;Greber, Andrea;5;13;1.243;1.243;57;83;73;148;77;53;54;453;82;163
