WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;601;602;603;604;605;606;607;608;609;610
6;6;2;Beck;Florian;4;2;6410;3071;214;256;670;3339;231;246;201;493;255;505
6;6;3;Timm;Martin;18;3;4033;479;32;50;26;47;67;38;27;53;139;3.554
6;6;4;Pfaff;Christine;2;4;3283;1350;81;76;65;99;1933;76;72;628;104;149
6;6;5;Liebl;Georg;10;5;3260;1118;320;385;37;62;51;73;2.142;62;61;67
6;6;6;Schäffer;Tobias;6;6;3226;1163;130;2063;113;138;58;137;286;122;87;92
6;6;7;Hänsch;Christian;12;7;3028;308;18;14;2720;85;8;46;20;43;20;54
6;6;8;Hansen;Kevin-Christopher;8;8;2925;272;29;31;15;23;17;26;34;27;2.653;70
6;6;9;Diekmann;Peter;14;9;2730;872;1858;503;5;5;5;9;316;5;11;13
6;6;10;Häuslein;Stefan;16;10;2227;230;41;27;13;12;10;1.997;39;10;56;22
6;6;11;Dörnhöfer;Doris;13;11;1821;1821;90;100;71;92;89;197;115;80;370;617
6;6;12;Freund;Matthias;17;12;1323;1323;35;50;309;622;34;56;36;61;51;69
6;6;13;Greber;Andrea;5;13;1243;1243;57;83;73;148;77;53;54;453;82;163
6;6;14;Genheimer;Florence;3;14;1135;1135;49;60;68;145;72;52;43;483;61;102
6;6;15;Greber;Jutta;9;15;876;876;51;61;62;101;61;30;32;297;60;121
6;6;16;Barrientos Krauss;Simone;15;16;762;762;21;26;13;23;75;26;10;14;304;250
6;6;17;Strobel;Angelika;7;17;729;729;27;37;51;49;53;65;28;317;46;56
6;6;18;Siedler;Peter;19;18;250;250;9;9;7;8;153;13;12;7;13;19
6;6;19;Riedelsheimer;Marga;11;19;215;215;7;9;18;20;12;9;10;101;14;15
6;7;1;Hartmann;Uwe;1;1;2821;1531;140;97;183;250;1290;174;117;217;240;113
6;7;2;Gilbert;Uta;2;2;1822;927;79;47;72;159;299;59;70;895;92;50
6;7;3;Götz;Thorsten;10;3;1047;611;25;28;80;97;47;58;36;191;49;436
6;7;4;Fieger;Christian;5;4;1044;217;53;36;17;34;10;24;827;18;21;4
6;7;5;Hess;Oliver;3;5;1009;156;11;9;7;853;70;15;5;19;13;7
6;7;6;Götz;Sabine;11;6;867;867;40;35;111;132;53;49;39;316;51;41
6;7;7;Nix;Benjamin;8;7;780;345;24;435;46;50;27;36;22;86;29;25
6;7;8;Sadlo;Franz;4;8;679;68;8;4;611;18;2;15;3;12;2;4
6;7;9;Herberich;Matthias;6;9;649;58;6;7;10;5;6;591;4;4;10;6
6;7;10;Gilbert;Raimund;9;10;593;112;6;6;8;21;29;7;9;20;481;6
6;7;11;Rönninger;Karl-Heinz;7;11;543;90;453;4;4;8;54;2;4;3;5;6
6;7;12;Trautmann;Felix;14;12;471;471;91;127;4;7;5;13;211;7;3;3
6;7;13;Hartmann;Birgit;12;13;267;267;9;8;6;9;203;7;3;7;6;9
6;7;14;Stadel;Rudolf;18;14;106;106;5;4;6;13;44;4;4;6;12;8
6;7;15;Rammig;Jürgen;17;15;96;96;4;4;1;8;63;6;1;1;3;5
6;7;16;Lutz;Ingrid;15;16;78;78;7;1;3;4;3;18;2;3;33;4
6;7;17;Weinmann;Ingrid;13;17;63;63;2;5;3;5;36;5;2;0;1;4
