id;jahr;vorname;name;partei
1851022;2018;Franz;Gsänger;1310
1851023;2018;Werner;Hasenest;1310
1851024;2018;Roland;Pudalik;1310
1851101;2018;Raimund;Swoboda;1311
1851102;2018;Dr. Ralph;Müller;1311
1851103;2018;Ferdinand;Mang;1311
1851104;2018;Johannes;Meier;1311
1851105;2018;Claus-Georg;Pleyer;1311
1851106;2018;Dr. Wolfgang Marc;Dörner;1311
1851107;2018;Matthias;Vogler;1311
1851108;2018;Siegfried;Lang;1311
1851109;2018;Peter;Konrad;1311
1851110;2018;Klaus;Wahner;1311
1851111;2018;Michael;Meister;1311
1851112;2018;René;Jentzsch;1311
1851301;2018;Christine;Deutschmann;1313
1851302;2018;Susanne;Philipp;1313
1851303;2018;Andrea;Bullmer;1313
1851304;2018;Herbert;Turetschek;1313
1851305;2018;Renate;Ackermann;1313
1851306;2018;Wolfgang;Wohlgemuth;1313
1851307;2018;Dieter;Weberpals;1313
1851308;2018;Ute;Wolfram;1313
1851309;2018;Martina;Schößwender;1313
1851310;2018;Larissa-Katharina;Philipp;1313
1851311;2018;Helmut;Keller;1313
1851312;2018;Arwen;Schnack;1313
1851313;2018;Carina;Wohlgemuth;1313
1851314;2018;Rainer;Lengenfelder;1313
1851315;2018;Melina;Wohlgemuth;1313
1851316;2018;Dieter;Flohr;1313
1851317;2018;Tobias;Deutschmann;1313
1851318;2018;Wolfgang;Nißlbeck;1313
1851319;2018;David;Meier;1313
1851320;2018;Manfred;Kindler;1313
1851321;2018;Karlheinz;Philipp;1313
1851501;2018;Patrick;Volkert;1315
1851502;2018;Dr. Jan;Dörrie;1315
1851503;2018;Jörg;Knapp;1315
1851504;2018;Julian;Roser;1315
1851505;2018;Rainer;Kristuf;1315
1851506;2018;Josefine;Neidnicht;1315
1851507;2018;Yannik;Pleick;1315
1851508;2018;Leon;Hubatsch;1315
1851509;2018;Simon;Schelte;1315
1851601;2018;Andrea;Beyerlein;1316
1851602;2018;Alexander;Preis;1316
1851603;2018;Stefan;Asbeck;1316
1851801;2018;Markus;Streck;1318
1851802;2018;Michaela;Maurer;1318
1851803;2018;Doris;Dischner;1318
1851804;2018;Simone;Michalko;1318
1851805;2018;Marie Alin;Erler;1318
1851806;2018;Melanie;Näser;1318
1851807;2018;Daniel;Moshammer;1318
1851808;2018;Daniel;Garratt;1318
1851809;2018;Michaela;Fischer;1318
1851810;2018;Amina;Sibai;1318
1820101;2018;Bernd;Sibler;1301
1820102;2018;Josef;Zellmeier;1301
1820103;2018;Dr. Gerhard;Waschler;1301
1820104;2018;Dr. Petra;Loibl;1301
1820105;2018;Walter;Taubeneder;1301
1820106;2018;Petra;Högl;1301
1820107;2018;Helmut;Radlmeier;1301
1820108;2018;Max;Gibis;1301
1820109;2018;Martin;Wagle;1301
1820110;2018;Hans;Ritt;1301
1820111;2018;Monika;Haderer;1301
1820112;2018;Stefan;Meyer;1301
1820113;2018;Oliver;Antretter;1301
1820114;2018;Harald;Haase;1301
1820115;2018;Dr. Ralph;Pütz;1301
1820116;2018;Benjamin;Taitsch;1301
1820117;2018;Andreas;Diermeier;1301
1820118;2018;Johannes;Binder;1301
1820201;2018;Ruth;Müller;1302
1820202;2018;Christian;Flisek;1302
1820203;2018;Dr. Bernd;Vilsmeier;1302
1820204;2018;Sabine;Mayerhofer;1302
1820205;2018;Bettina;Blöhm;1302
1820206;2018;Harald;Unfried;1302
1820207;2018;Florian;Huber;1302
1820208;2018;Dr. Olaf;Sommerfeld;1302
1820209;2018;Valentin;Kuby;1302
1820210;2018;Josef;Süß;1302
1820211;2018;Stephan;Schweiger;1302
1820212;2018;Hans;Hutter;1302
1820213;2018;Dr. Jürgen;Rampmaier;1302
1820214;2018;Robert;Kröll;1302
1820215;2018;Sebastian;Hutzenthaler;1302
1820216;2018;Martin;Kreutz;1302
1820217;2018;Martin;Rapke;1302
1820218;2018;Peter;Kaltenhauser;1302
1820301;2018;Hubert;Aiwanger;1303
1820302;2018;Jutta;Widmann;1303
1820303;2018;Dr. Hubert;Faltermeier;1303
1820304;2018;Manfred;Eibl;1303
1820305;2018;Tobias;Beck;1303
1820306;2018;Roswitha;Toso;1303
1820307;2018;Werner;Schießl;1303
1820308;2018;Dr. Georg;Meiski;1303
1820309;2018;Christian;Lindinger;1303
1820310;2018;Stephan;Weckmann;1303
