WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;301;302;303;304;305;306;307;308
3;4;7;Doblinger;Michael;6;7;8249;3070;272;5179;304;409;1567;248;109;161
3;4;8;Quaas;Benjamin;4;8;6999;644;62;22;55;94;316;6355;56;39
3;4;9;Winklmann;Tina;3;9;4968;4968;402;240;263;316;1369;1907;228;243
3;4;10;Zeichinger;Veronika;9;10;4036;4036;32;26;32;287;3549;55;20;35
3;4;11;Rösel;Yvonne;5;11;3813;3813;3120;25;112;76;315;49;56;60
3;4;12;Mölders;Petra;11;12;3671;3671;136;2174;180;178;659;176;80;88
3;4;13;Borke-Thoma;Eva;7;13;3662;3662;101;54;2848;94;396;56;74;39
3;4;14;Schuhmacher;Sonja;15;14;2647;2647;150;29;79;66;213;126;470;1514
3;4;15;Wein;Marie;13;15;2104;2104;178;95;232;544;673;165;107;110
3;4;16;Schüßler;Mathias;14;16;526;526;63;34;74;37;118;27;109;64
3;5;1;Skutella;Christoph;1;1;7628;4749;721;402;499;691;1133;625;678;2879
3;5;2;Vo;Huu Loi;2;2;6418;1869;155;119;193;616;4549;214;68;504
3;5;3;Lederer;Ingo;15;3;3727;457;35;20;38;3270;224;103;9;28
3;5;4;Enger;Dr. Ilka;7;4;3656;3656;214;158;253;661;1778;259;101;232
3;5;5;Stuiber;Alfred;5;5;3557;919;70;2638;94;158;216;210;60;111
