jahr;stimmen;stimmkreis;kandidat;partei
2018;65;512;1850210;1302
2018;48;501;1850211;1302
2018;47;502;1850211;1302
2018;47;503;1850211;1302
2018;49;504;1850211;1302
2018;291;505;1850211;1302
2018;27;507;1850211;1302
2018;33;508;1850211;1302
2018;63;509;1850211;1302
2018;35;510;1850211;1302
2018;35;511;1850211;1302
2018;399;512;1850211;1302
2018;23;501;1850212;1302
2018;13;502;1850212;1302
2018;17;503;1850212;1302
2018;28;504;1850212;1302
2018;453;506;1850212;1302
2018;10;507;1850212;1302
2018;14;508;1850212;1302
2018;21;509;1850212;1302
2018;76;510;1850212;1302
2018;20;511;1850212;1302
2018;25;512;1850212;1302
2018;42;501;1850213;1302
2018;23;502;1850213;1302
2018;43;503;1850213;1302
2018;59;504;1850213;1302
2018;32;505;1850213;1302
2018;36;506;1850213;1302
2018;31;507;1850213;1302
2018;20;508;1850213;1302
2018;1684;509;1850213;1302
2018;155;510;1850213;1302
2018;44;511;1850213;1302
2018;37;512;1850213;1302
2018;95;501;1850214;1302
2018;78;502;1850214;1302
2018;50;503;1850214;1302
2018;52;504;1850214;1302
2018;49;505;1850214;1302
2018;53;506;1850214;1302
2018;393;507;1850214;1302
2018;858;508;1850214;1302
2018;102;509;1850214;1302
2018;66;510;1850214;1302
2018;57;511;1850214;1302
2018;45;512;1850214;1302
2018;194;501;1850215;1302
2018;133;502;1850215;1302
2018;108;503;1850215;1302
2018;122;504;1850215;1302
2018;94;505;1850215;1302
2018;100;506;1850215;1302
2018;298;507;1850215;1302
2018;169;508;1850215;1302
2018;160;509;1850215;1302
2018;110;510;1850215;1302
2018;121;511;1850215;1302
2018;91;512;1850215;1302
2018;57;501;1850216;1302
2018;63;502;1850216;1302
2018;32;503;1850216;1302
2018;53;504;1850216;1302
2018;38;505;1850216;1302
2018;44;506;1850216;1302
2018;43;507;1850216;1302
2018;41;508;1850216;1302
2018;58;509;1850216;1302
2018;45;510;1850216;1302
2018;1039;511;1850216;1302
2018;51;512;1850216;1302
2018;54;501;1850217;1302
2018;52;502;1850217;1302
2018;40;503;1850217;1302
2018;59;504;1850217;1302
2018;28;505;1850217;1302
2018;285;506;1850217;1302
2018;40;507;1850217;1302
2018;38;508;1850217;1302
2018;48;509;1850217;1302
2018;51;510;1850217;1302
2018;36;511;1850217;1302
2018;692;512;1850217;1302
2018;213;501;1850218;1302
2018;160;502;1850218;1302
2018;148;503;1850218;1302
2018;237;504;1850218;1302
2018;47;505;1850218;1302
2018;49;506;1850218;1302
2018;54;507;1850218;1302
2018;54;508;1850218;1302
2018;87;509;1850218;1302
2018;47;510;1850218;1302
2018;69;511;1850218;1302
2018;82;512;1850218;1302
2018;22;501;1850219;1302
2018;20;502;1850219;1302
2018;6;503;1850219;1302
2018;18;504;1850219;1302
2018;431;505;1850219;1302
2018;488;506;1850219;1302
2018;6;507;1850219;1302
2018;5;508;1850219;1302
2018;19;509;1850219;1302
2018;21;510;1850219;1302
2018;5;511;1850219;1302
2018;14;512;1850219;1302
2018;177;501;1850220;1302
2018;141;502;1850220;1302
2018;115;503;1850220;1302
2018;189;504;1850220;1302
2018;35;505;1850220;1302
2018;27;506;1850220;1302
2018;37;507;1850220;1302
2018;46;508;1850220;1302
2018;89;509;1850220;1302
2018;38;510;1850220;1302
2018;43;511;1850220;1302
2018;50;512;1850220;1302
2018;115;501;1850221;1302
2018;90;502;1850221;1302
2018;76;503;1850221;1302
2018;170;504;1850221;1302
2018;38;505;1850221;1302
2018;42;506;1850221;1302
2018;32;507;1850221;1302
2018;22;508;1850221;1302
2018;48;509;1850221;1302
2018;43;510;1850221;1302
2018;37;511;1850221;1302
2018;45;512;1850221;1302
2018;9;501;1850222;1302
2018;12;502;1850222;1302
2018;15;503;1850222;1302
2018;19;504;1850222;1302
2018;406;505;1850222;1302
2018;36;506;1850222;1302
2018;12;507;1850222;1302
2018;19;508;1850222;1302
2018;17;509;1850222;1302
2018;178;510;1850222;1302
2018;15;511;1850222;1302
2018;11;512;1850222;1302
2018;11;501;1850223;1302
2018;14;502;1850223;1302
2018;6;503;1850223;1302
2018;15;504;1850223;1302
2018;23;505;1850223;1302
2018;38;506;1850223;1302
2018;35;507;1850223;1302
2018;7;508;1850223;1302
2018;16;509;1850223;1302
2018;550;510;1850223;1302
2018;12;511;1850223;1302
2018;18;512;1850223;1302
2018;106;501;1850224;1302
2018;66;502;1850224;1302
2018;69;503;1850224;1302
2018;107;504;1850224;1302
2018;16;505;1850224;1302
2018;19;506;1850224;1302
2018;14;507;1850224;1302
2018;16;508;1850224;1302
2018;43;509;1850224;1302
2018;30;510;1850224;1302
2018;33;511;1850224;1302
2018;29;512;1850224;1302
2018;826;501;1850301;1303
2018;894;502;1850301;1303
2018;878;503;1850301;1303
2018;503;504;1850301;1303
2018;5713;506;1850301;1303
2018;1438;507;1850301;1303
2018;995;508;1850301;1303
2018;1309;509;1850301;1303
2018;3645;510;1850301;1303
2018;2217;511;1850301;1303
2018;1733;512;1850301;1303
2018;171;501;1850302;1303
2018;182;502;1850302;1303
2018;150;503;1850302;1303
2018;91;504;1850302;1303
2018;2090;505;1850302;1303
2018;280;506;1850302;1303
2018;1881;507;1850302;1303
2018;240;508;1850302;1303
2018;338;509;1850302;1303
2018;306;511;1850302;1303
2018;184;512;1850302;1303
2018;253;501;1850303;1303
2018;299;502;1850303;1303
2018;286;503;1850303;1303
2018;173;504;1850303;1303
2018;752;505;1850303;1303
2018;212;507;1850303;1303
2018;187;508;1850303;1303
2018;332;509;1850303;1303
2018;427;510;1850303;1303
2018;519;511;1850303;1303
2018;801;512;1850303;1303
2018;104;501;1850304;1303
2018;105;502;1850304;1303
2018;132;503;1850304;1303
2018;63;504;1850304;1303
2018;165;505;1850304;1303
2018;1520;506;1850304;1303
2018;520;507;1850304;1303
2018;148;508;1850304;1303
2018;87;509;1850304;1303
2018;184;510;1850304;1303
2018;309;511;1850304;1303
2018;27;501;1850305;1303
2018;25;502;1850305;1303
2018;15;503;1850305;1303
2018;14;504;1850305;1303
2018;439;505;1850305;1303
2018;54;506;1850305;1303
2018;113;508;1850305;1303
2018;29;509;1850305;1303
2018;723;510;1850305;1303
2018;43;511;1850305;1303
2018;33;512;1850305;1303
2018;81;501;1850306;1303
2018;319;502;1850306;1303
2018;79;503;1850306;1303
2018;57;504;1850306;1303
2018;89;505;1850306;1303
2018;102;506;1850306;1303
2018;63;507;1850306;1303
2018;52;508;1850306;1303
2018;78;509;1850306;1303
2018;146;510;1850306;1303
2018;133;512;1850306;1303
2018;217;501;1850307;1303
2018;200;502;1850307;1303
2018;102;503;1850307;1303
2018;104;504;1850307;1303
2018;230;505;1850307;1303
2018;167;506;1850307;1303
2018;1031;507;1850307;1303
2018;249;509;1850307;1303
2018;260;510;1850307;1303
2018;286;511;1850307;1303
2018;141;512;1850307;1303
2018;94;501;1850308;1303
2018;56;502;1850308;1303
2018;69;503;1850308;1303
2018;116;504;1850308;1303
2018;107;505;1850308;1303
2018;99;506;1850308;1303
2018;56;507;1850308;1303
2018;40;508;1850308;1303
2018;197;510;1850308;1303
2018;76;511;1850308;1303
2018;79;512;1850308;1303
2018;70;501;1850309;1303
2018;75;502;1850309;1303
2018;61;504;1850309;1303
2018;1649;505;1850309;1303
2018;378;506;1850309;1303
2018;42;507;1850309;1303
2018;34;508;1850309;1303
2018;68;509;1850309;1303
2018;155;510;1850309;1303
2018;79;511;1850309;1303
2018;88;512;1850309;1303
2018;161;501;1850310;1303
2018;172;503;1850310;1303
2018;89;504;1850310;1303
2018;207;505;1850310;1303
2018;236;506;1850310;1303
2018;158;507;1850310;1303
2018;114;508;1850310;1303
2018;178;509;1850310;1303
2018;299;510;1850310;1303
2018;779;511;1850310;1303
2018;276;512;1850310;1303
2018;529;502;1850311;1303
2018;478;503;1850311;1303
2018;413;504;1850311;1303
2018;64;505;1850311;1303
2018;99;506;1850311;1303
2018;65;507;1850311;1303
2018;55;508;1850311;1303
2018;165;509;1850311;1303
2018;85;510;1850311;1303
2018;235;511;1850311;1303
2018;133;512;1850311;1303
2018;125;501;1850312;1303
2018;68;502;1850312;1303
2018;46;503;1850312;1303
2018;53;505;1850312;1303
2018;47;506;1850312;1303
2018;338;507;1850312;1303
2018;787;508;1850312;1303
2018;94;509;1850312;1303
2018;71;510;1850312;1303
2018;96;511;1850312;1303
2018;52;512;1850312;1303
2018;46;501;1850313;1303
2018;58;502;1850313;1303
2018;44;503;1850313;1303
2018;29;504;1850313;1303
2018;60;505;1850313;1303
2018;198;506;1850313;1303
2018;35;507;1850313;1303
2018;25;508;1850313;1303
2018;62;509;1850313;1303
2018;63;510;1850313;1303
