WahlkreisId;ParteiId;KandidatId;KandidatName;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;501;502;503;504;505;506;507;508;509;510;511;512
5;3;12;Schenkel, Alexander;10;12;4.092;1.777;125;68;46;2.315;53;47;338;787;94;71;96;52
5;3;13;Kratzer, Hermann;15;13;3.537;3.537;46;58;44;29;60;198;35;25;62;63;58;2.859
5;3;14;Niedermann, Jürgen;14;14;2.858;2.858;92;63;35;31;249;253;451;833;109;436;162;144
5;3;15;Lau, Heidi;19;15;2.424;2.424;147;136;91;91;109;126;117;83;826;455;134;109
5;3;16;Vogel, Michael;13;16;2.256;2.256;42;29;21;24;1.450;372;23;22;46;150;38;39
5;3;17;Tiefel, Stefan-Hans;17;17;1.931;1.931;60;33;28;25;126;81;65;27;235;1.160;49;42
5;3;18;Huber, Christian;23;18;1.537;1.537;12;11;428;16;70;187;9;8;27;38;11;720
5;3;19;Sparrer, Otto;24;19;1.428;1.428;17;17;18;5;450;762;15;10;17;56;20;41
5;3;20;Schölkopf, Michael;18;20;1.120;1.120;37;18;8;12;14;9;692;104;33;25;149;19
5;3;21;Riedelbauch, Holger;20;21;1.111;1.111;27;97;9;14;12;14;15;10;23;14;859;17
5;3;22;Bleisteiner, Gabi;22;22;1.064;1.064;15;26;14;12;14;19;20;6;16;30;873;19
5;3;23;Kißlinger, Felix;16;23;1.027;1.027;28;15;10;19;31;84;8;10;647;116;29;30
5;3;24;Vahldiek, Michael;21;24;496;496;12;23;8;6;4;6;8;10;12;7;392;8
5;4;1;Osgyan, Verena;1;1;60.866;51.679;8.127;6.160;3.770;9.187;3.603;2.715;4.342;5.652;4.936;4.167;5.127;3.080
5;4;2;Stümpfig, Martin;2;2;44.225;27.973;2.922;2.358;1.450;3.310;16.252;5.436;1.875;2.589;2.075;2.617;2.028;1.313
5;4;3;Ganserer, Markus;4;3;34.914;16.116;18.798;1.502;891;949;1.500;525;932;1.118;5.161;1.608;1.257;673
5;4;4;Fuchs, Barbara;3;4;24.078;6.012;703;476;349;564;731;249;458;522;18.066;1.268;446;246
5;4;5;Weigand, Dr. Sabine;5;5;23.831;11.469;1.206;994;12.362;983;1.098;602;438;584;1.023;690;832;3.019
5;4;6;Zwanziger, Christian;6;6;20.645;3.655;459;247;162;144;225;111;1.257;16.990;298;311;313;128
5;4;7;Hayn, Elmar;8;7;18.294;2.928;804;15.366;311;723;121;54;95;200;214;69;257;80
5;4;8;Marschall, Astrid;9;8;16.557;3.186;322;280;194;176;223;161;13.371;613;185;199;666;167
5;4;9;Drechsler, Gabriele;7;9;14.906;1.787;191;579;146;108;116;50;69;117;126;85;13.119;200
5;4;10;Höftmann, André;10;10;14.770;2.637;342;320;183;241;237;121;210;317;335;12.133;191;140
5;4;11;Kucher, Winfried;14;11;12.925;889;111;103;41;52;113;12.036;61;109;64;35;42;158
5;4;12;Hofmann, Andreas;12;12;11.943;1.424;147;113;151;94;141;203;93;87;124;138;133;10.519
5;4;13;Schubarth, Achim;22;13;6.359;6.359;578;465;296;306;533;1.996;312;412;405;334;382;340
5;4;14;Schaaf, Gabriela;11;14;5.559;5.559;405;339;229;163;2.405;289;222;313;317;363;290;224
5;4;15;Weierich, Peter;16;15;5.541;5.541;318;244;88;147;109;54;1.022;2.943;230;151;150;85
5;4;16;Deffner, Heidemarie;13;16;3.139;3.139;289;252;193;182;345;136;132;184;385;741;183;117
5;4;17;Thomas, Cornelia;15;17;2.789;2.789;256;178;137;175;163;81;113;149;986;298;149;104
