jahr;stimmen;stimmkreis;kandidat;partei
2018;433;111;1810907;1309
2018;429;119;1810908;1309
2018;514;113;1810909;1309
2018;584;118;1810910;1309
2018;397;124;1810911;1309
2018;562;106;1810912;1309
2018;313;125;1810913;1309
2018;449;107;1810914;1309
2018;577;123;1810915;1309
2018;423;104;1810916;1309
2018;493;117;1810917;1309
2018;304;110;1810918;1309
2018;399;116;1810919;1309
2018;404;129;1810920;1309
2018;461;131;1810921;1309
2018;303;122;1810922;1309
2018;8595;128;1811101;1311
2018;5748;103;1811102;1311
2018;7713;130;1811103;1311
2018;7622;118;1811104;1311
2018;8264;127;1811105;1311
2018;8173;111;1811106;1311
2018;8571;115;1811107;1311
2018;5806;106;1811108;1311
2018;8707;116;1811109;1311
2018;8420;131;1811110;1311
2018;7501;122;1811111;1311
2018;7445;119;1811112;1311
2018;7038;123;1811113;1311
2018;8030;120;1811114;1311
2018;6533;125;1811115;1311
2018;8742;117;1811116;1311
2018;7412;113;1811117;1311
2018;5614;114;1811118;1311
2018;7738;126;1811119;1311
2018;6087;110;1811120;1311
2018;5643;107;1811121;1311
2018;5451;105;1811122;1311
2018;6397;112;1811123;1311
2018;5153;101;1811124;1311
2018;4657;104;1811125;1311
2018;6355;124;1811126;1311
2018;5418;129;1811127;1311
2018;5445;121;1811128;1311
2018;4217;102;1811129;1311
2018;3341;108;1811130;1311
2018;2636;109;1811131;1311
2018;95;123;1811201;1312
2018;77;102;1811202;1312
2018;41;108;1811203;1312
2018;41;124;1811204;1312
2018;59;101;1811205;1312
2018;847;109;1811301;1313
2018;402;108;1811302;1313
2018;372;102;1811303;1313
2018;461;127;1811304;1313
2018;635;120;1811305;1313
2018;478;103;1811307;1313
2018;444;130;1811308;1313
2018;399;123;1811309;1313
2018;489;131;1811310;1313
2018;458;128;1811311;1313
2018;388;114;1811312;1313
2018;395;117;1811313;1313
2018;322;124;1811314;1313
2018;382;112;1811315;1313
2018;320;129;1811316;1313
2018;328;101;1811317;1313
2018;330;118;1811318;1313
2018;337;107;1811319;1313
2018;319;121;1811320;1313
2018;291;110;1811321;1313
2018;297;104;1811322;1313
2018;292;113;1811323;1313
2018;270;111;1811324;1313
2018;265;105;1811325;1313
2018;159;119;1811401;1314
2018;545;111;1811501;1315
2018;672;103;1811502;1315
2018;775;127;1811503;1315
2018;811;117;1811504;1315
2018;475;128;1811505;1315
2018;375;107;1811506;1315
2018;626;114;1811507;1315
2018;686;115;1811509;1315
2018;447;108;1811510;1315
2018;467;124;1811511;1315
2018;461;104;1811513;1315
2018;490;119;1811514;1315
2018;552;125;1811515;1315
2018;568;116;1811516;1315
2018;509;126;1811517;1315
2018;307;105;1811520;1315
2018;77;108;1811603;1316
2018;559;107;1811701;1317
2018;675;104;1811702;1317
2018;1106;123;1811703;1317
2018;921;118;1811704;1317
2018;670;101;1811706;1317
2018;817;130;1811707;1317
2018;921;113;1811708;1317
2018;717;103;1811709;1317
2018;521;105;1811710;1317
2018;235;109;1811801;1318
2018;512;131;1811802;1318
2018;241;122;1811803;1318
2018;257;124;1811804;1318
2018;163;107;1811805;1318
2018;261;119;1811806;1318
2018;246;129;1811807;1318
2018;162;108;1811808;1318
2018;222;118;1811810;1318
2018;206;103;1811811;1318
2018;238;116;1811812;1318
2018;238;114;1811813;1318
2018;234;106;1811814;1318
2018;268;126;1811815;1318
2018;258;111;1811816;1318
2018;141;105;1811817;1318
2018;203;102;1811818;1318
2018;128;104;1811819;1318
2018;139;101;1811820;1318
2018;22948;402;1840101;1301
2018;37015;403;1840102;1301
2018;33281;408;1840103;1301
2018;29358;401;1840104;1301
2018;32234;407;1840105;1301
2018;27119;406;1840106;1301
2018;24795;404;1840107;1301
2018;23588;405;1840108;1301
2018;17702;408;1840201;1302
2018;19132;406;1840202;1302
2018;15334;404;1840203;1302
2018;11787;403;1840204;1302
2018;10153;407;1840205;1302
