WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;701;702;703;704;705;706;707;708;709;710;711;712;713
7;2;5;Woerlein;Herbert;5;5;9123;2436;351;952;344;378;6687;74;54;36;40;53;32;37;85
7;2;6;Deckwerth;Ilona;4;6;8848;4617;165;141;182;107;111;150;107;298;4.231;484;2.357;216;299
7;2;7;Wiedemann;Georg;10;7;8618;1506;147;120;125;145;94;7112;94;75;126;149;106;107;218
7;2;8;Fürst;Daniel;11;8;8250;1017;60;49;58;72;37;100;194;44;70;97;35;201;7.233
7;2;9;Rief;Tobias;8;9;5876;863;49;19;20;5013;26;423;121;25;22;45;10;25;78
7;2;10;Yeow;David;9;10;5205;760;40;25;31;31;24;24;33;126;153;82;40;4.445;151
7;2;11;Maffenbeier;Michael;13;11;5037;523;12;9;3;3;9;11;14;27;50;4.514;15;349;21
7;2;12;Kubatschka;Markus;12;12;4756;1581;55;33;42;32;32;30;35;3.175;256;863;74;54;75
7;2;13;Auinger;Tobias;7;13;4457;607;81;52;37;138;47;50;3850;14;16;26;12;31;103
7;2;14;Bachmann;Bernd;15;14;2689;2689;28;22;25;21;25;48;40;33;38;51;21;69;2.268
7;2;15;Segnitzer-König;Marion;20;15;2158;2158;69;46;76;63;32;1657;25;31;28;25;21;26;59
7;2;16;Friederich-Scheuerl;Susanne;14;16;1831;1831;37;18;33;22;16;26;27;106;82;61;36;1.231;136
7;2;17;Wamser;Fabian;23;17;1696;1696;113;116;89;67;538;132;69;125;73;88;79;64;143
7;2;18;Wörz;Thomas;26;18;1535;1535;17;12;12;320;19;79;939;7;13;17;10;18;72
7;2;19;Steiner;Mirjam;24;19;1426;1426;15;6;5;1249;5;36;6;11;12;42;6;11;22
7;2;20;Wilhelm;Thomas;25;20;1268;1268;9;7;9;16;10;14;15;25;776;226;69;59;33
7;2;21;Lederer;Sandra;18;21;1243;1243;103;47;794;25;37;27;20;23;38;38;14;21;56
7;2;22;Grünwald;Sabine;16;22;1131;1131;69;70;84;38;448;54;40;101;47;40;44;35;61
7;2;23;Valdés-Stauber;Martin;21;23;849;849;19;5;9;8;6;8;5;535;18;28;175;18;15
7;2;24;Otte;Frank;19;24;609;609;18;13;6;12;9;16;251;10;6;16;8;19;225
7;2;25;Helmschrott;Manfred;17;25;597;597;34;30;31;201;17;104;7;61;9;13;53;10;27
7;2;26;Stegherr-Haußmann;Erna;22;26;522;522;24;31;39;140;149;15;22;15;23;23;12;14;15
7;3;1;Hold;Alexander;1;1;69875;53686;1851;1944;3005;3044;3764;3012;3022;5.396;16.189;11.911;6.648;6.392;3.697
7;3;2;Herz;Dr. Leopold;4;2;25412;11743;155;168;370;359;480;274;447;651;6.084;13.669;1.703;745;307
7;3;3;Mehring;Dr. Fabian;3;3;20463;10520;475;990;700;5966;9943;920;258;173;454;144;107;140;193
7;3;4;Häusler;Johann;5;4;17523;3524;95;360;691;13999;877;664;205;93;89;108;57;79;206
7;3;5;Pohl;Bernhard;8;5;14140;4496;51;43;57;68;104;30;91;9.644;330;92;2.653;881;96
7;3;6;Abmayr;Ruth;2;6;11899;4094;146;161;191;797;293;228;7805;199;902;135;116;197;729
7;3;7;Schrapp;Wolfgang;11;7;11155;3119;95;85;202;130;158;109;493;217;244;235;142;1.009;8.036
7;3;8;Knabner;Susen;9;8;10993;1939;71;60;51;49;63;52;88;1.088;212;77;9.054;90;38
7;3;9;Wengenmeir;Johann;7;9;10906;5490;5416;1399;919;402;1251;271;319;127;310;96;111;99;186
7;3;10;Stieglauer;Stephan;6;10;10582;3087;23;41;35;2754;50;7495;49;27;31;22;13;16;26
7;3;11;Hatzold;Johannes;13;11;9422;939;218;100;8483;70;123;76;54;43;77;41;31;28;78
7;3;12;Stuber-Schneider;Regina;12;12;9038;2834;1022;6204;322;163;481;167;171;91;116;55;69;83;94
7;3;13;Moser;Michael;10;13;8790;930;25;24;23;31;28;17;16;109;58;516;38;7.860;45
7;3;14;Wirthensohn;Hugo;24;14;3638;3638;37;39;78;58;64;48;42;92;2.465;302;128;213;72
7;3;15;Horst;Bernd;18;15;2970;2970;38;38;51;130;38;2483;42;21;31;24;21;16;37
7;3;16;Rittel;Anton;22;16;2786;2786;70;236;190;856;984;63;125;46;45;40;18;54;59
7;3;17;Fröhlich;Ludwig;15;17;2654;2654;221;116;271;48;1789;32;34;31;39;19;13;15;26
7;3;18;Haug;Roman;16;18;2518;2518;13;9;18;18;25;15;14;20;486;1.753;71;41;35
7;3;19;Eisenlauer;Lucas;14;19;2408;2408;46;30;68;73;80;40;1360;34;100;64;44;54;415
7;3;20;Zelt;Hermann;25;20;2235;2235;26;25;55;40;37;31;40;64;965;74;70;738;70
7;3;21;Mayer;Christine;21;21;1819;1819;15;28;36;52;46;64;125;37;69;33;28;36;1.250
