WahlkreisId;ParteiId;KandidatId;KandidatName;KandidatVorname;StimmzettelReihenfolge;PlatzNummer;Gesamtstimmen;Zweitstimmen;201;202;203;204;205;206;207;208;209
2;2;13;Rampmaier;Dr. Jürgen;10;13;1690;1690;57;46;41;73;62;94;28;1210;79
2;2;14;Kröll;Robert;17;14;1365;1365;1067;40;12;21;44;62;38;32;49
2;2;15;Hutzenthaler;Sebastian;18;15;1188;1188;18;116;32;918;19;9;13;18;45
2;2;16;Kreutz;Martin;13;16;794;794;9;27;26;90;8;7;12;15;600
2;2;17;Rapke;Martin;11;17;666;666;59;349;22;40;33;33;18;34;78
2;2;18;Kaltenhauser;Peter;14;18;426;426;7;7;9;21;27;213;11;110;21
2;3;1;Aiwanger;Hubert;1;1;102691;80295;10185;14035;12706;22396;7023;7884;9132;8436;10894
2;3;2;Widmann;Jutta;2;2;30956;16938;223;14018;255;15064;139;185;198;645;229
2;3;3;Faltermeier;Dr. Hubert;5;3;15720;1029;61;98;14691;622;41;43;52;47;65
2;3;4;Eibl;Manfred;3;4;13496;3414;226;126;27;445;2260;214;10082;55;61
2;3;5;Beck;Tobias;6;5;11506;1435;78;177;154;826;56;41;56;47;10071
2;3;6;Toso;Roswitha;8;6;10858;1863;89;94;44;77;8995;256;1222;43;38
2;3;7;Schießl;Werner;7;7;9739;427;33;127;14;63;24;106;22;9312;38
2;3;8;Meiski;Dr. Georg;4;8;9244;1767;7477;252;90;251;128;164;587;93;202
2;3;9;Lindinger;Christian;9;9;9150;1153;85;137;85;232;211;7997;66;244;93
2;3;10;Weckmann;Stephan;10;10;3501;3501;151;193;55;87;31;44;68;62;2810
2;3;11;Maiwald;Gerhild;12;11;2582;2582;1279;216;115;214;123;196;178;131;130
2;3;12;Fichtner;Helmut;15;12;2169;2169;31;58;1724;216;22;23;25;26;44
2;3;13;Fischer;Stefanie;14;13;2109;2109;56;80;42;58;1553;72;125;59;64
2;3;14;Walter-Kilian;Annette;16;14;1435;1435;32;386;56;787;19;22;25;71;37
2;3;15;Bauer;Georg;11;15;1325;1325;105;98;50;109;69;76;672;62;84
2;3;16;Hirmer;Jakob;17;16;1120;1120;14;26;11;27;15;111;12;885;19
2;3;17;Daiberl;Herbert;18;17;1058;1058;9;238;40;693;8;9;14;30;17
2;3;18;Schneemayer;Helmut;13;18;921;921;27;47;35;54;95;553;35;46;29
2;4;1;Steinberger;Rosi;1;1;30323;16813;1634;3647;2324;13510;1935;1589;1298;2049;2337
2;4;2;Schuberl;Toni;2;2;14364;8134;466;248;231;2282;3675;6230;527;397;308
2;4;3;Schönberger;Marlene;3;3;12347;4258;213;8089;299;2365;329;285;161;269;337
2;4;4;Weigl;Matthias;6;4;11343;2899;295;265;208;407;8444;953;254;257;260
2;4;5;Hagl;Sigi;7;5;9561;9561;357;964;450;6543;210;177;208;337;315
2;4;6;Schlüter;Jens;8;6;9328;2429;372;258;199;353;389;265;6899;218;375
2;4;7;Niedermeier;Feride;5;7;8018;669;106;166;76;108;44;42;59;68;7349
2;4;8;Heilmann;Christian;4;8;6991;1675;5316;220;99;207;115;217;409;95;313
2;4;9;Stephan;Daniel;10;9;6902;427;43;46;6475;115;67;35;34;40;47
2;4;10;Reiser;Günther;15;10;6839;167;14;43;25;33;13;23;5;6672;11
2;4;11;Hallitzky;Eike;18;11;3760;3760;206;54;77;171;1185;1315;332;290;130
2;4;12;Zieglmeier;Richard;16;12;3495;3495;90;119;2567;250;115;92;77;93;92
2;4;13;Lindner;Sabine;11;13;3013;3013;1394;207;134;261;190;127;279;129;292
2;4;14;Ernst;Matthias;14;14;2143;2143;57;100;78;122;140;24;49;49;1524
2;4;15;Schwimmer;Wolfgang;12;15;1997;1997;44;1074;83;341;56;63;75;162;99
2;4;16;Rabanter;Lorenz;17;16;1953;1953;60;144;47;96;63;59;26;1410;48
2;4;17;Kalin;Maria;9;17;1939;1939;82;96;69;103;864;436;87;111;91
2;4;18;Laux;Antje;13;18;1784;1784;75;71;65;120;201;73;1035;51;93
2;5;1;Muthmann;Alexander;2;1;12206;6210;268;145;96;1344;3574;379;5996;108;296
2;5;2;Hoffmann;Norbert;1;2;10451;5424;534;1213;794;5027;640;519;441;676;607
2;5;3;Schmid;Josefa;4;3;7426;4073;541;152;126;300;163;139;2523;129;3353
2;5;4;Dittlmann;Andreas;6;4;6054;1337;76;74;52;151;4717;637;192;100;55
2;5;5;Altinger;Marco Thomas;18;5;4722;1828;40;2894;84;1473;50;23;40;70;48
2;5;6;Curtis;Jake;3;6;3113;1007;84;106;2106;372;108;64;86;74;113
2;5;7;Illein;Bettina;8;7;3109;553;56;40;42;84;104;2556;36;110;81
2;5;8;Heuwieser;Dominik;5;8;2773;359;23;64;56;94;45;27;18;2414;32
2;5;9;Kooter;Kenneth;7;9;1988;304;1684;39;24;43;32;31;64;26;45
2;5;10;Egerer;Franz;10;10;1549;1549;129;689;89;160;66;69;49;107;191
2;5;11;Brücher;Carmen;12;11;1310;1310;57;67;59;91;685;183;44;62;62
2;5;12;Binner;Ernst;15;12;1268;1268;50;52;69;66;29;27;27;31;917
2;5;13;Däullary;Anna;13;13;1183;1183;44;142;105;609;48;55;43;53;84
2;5;14;Rothlehner;Claus;11;14;867;867;16;33;12;33;15;32;8;707;11
